intersection_id, city        , timestamp          , north_vehicle_count, south_vehicle_count, east_vehicle_count, west_vehicle_count, vehicle_type_distribution                    , avg_wait_time, queue_length, signal_phase, reward
              1, Chennai     , 2024-01-01 00:00:00,                  24,                  27,                 26,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        133.36,           18, East-West   , -85.72
              1, Chennai     , 2024-01-01 01:30:00,                  26,                  22,                 27,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        129.32,           17, North-South , -82.79
              1, Chennai     , 2024-01-01 03:00:00,                  24,                  23,                 25,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        136.5 ,           11, East-West   , -85.4
              1, Chennai     , 2024-01-01 04:30:00,                  25,                  25,                 22,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        140.0 ,           13, East-West   , -88.0
              1, Chennai     , 2024-01-01 06:00:00,                  24,                  22,                 25,                 24, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        133.11,           11, East-West   , -83.47
              1, Chennai     , 2024-01-01 07:30:00,                  98,                  91,                 95,                 95, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        218.69,          239, East-West   , -203.01
              1, Chennai     , 2024-01-01 09:00:00,                  61,                  65,                 55,                 56, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        195.81,          125, East-West   , -154.98
              1, Chennai     , 2024-01-01 10:30:00,                  58,                  57,                 60,                 55, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        211.36,          118, East-West   , -162.52
              1, Chennai     , 2024-01-01 12:00:00,                  72,                  85,                 83,                 83, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        203.2 ,          183, North-South , -177.02
              1, Chennai     , 2024-01-01 13:30:00,                  81,                  77,                 73,                 76, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        215.8 ,          167, North-South , -179.58
              1, Chennai     , 2024-01-01 15:00:00,                  60,                  67,                 68,                 65, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        212.15,          148, East-West   , -171.79
              1, Chennai     , 2024-01-01 16:30:00,                  59,                  58,                 66,                 62, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        209.26,          133, North-South , -165.65
              1, Chennai     , 2024-01-01 18:00:00,                  85,                  82,                 86,                 83, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        222.43,          196, East-West   , -192.56
              1, Chennai     , 2024-01-01 19:30:00,                  84,                  97,                 90,                 95, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        205.52,          226, North-South , -191.21
              1, Chennai     , 2024-01-01 21:00:00,                  26,                  26,                 22,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        130.47,           15, North-South , -82.98
